Data,Nous casos diaris confirmats,Defuncions diàries,Altes diàries,Total de casos confirmats,Total de defuncions,Total d'altes,Catalunya
28/05/2020,47,8,,58699,5584,,Catalunya
27/05/2020,39,8,,58427,5584,,Catalunya
26/05/2020,93,9,,57749,5583,,Catalunya
25/05/2020,115,9,,57569,5583,,Catalunya
24/05/2020,89,3,,57320,5575,,Catalunya
23/05/2020,52,31,,58791,6701,,Catalunya
22/05/2020,92,7,,58757,6663,,Catalunya
21/05/2020,150,3,,58679,6656,,Catalunya
20/05/2020,0,0,,57531,6021,,Catalunya
19/05/2020,63,40,,57531,6021,,Catalunya
18/05/2020,51,25,,57468,5981,,Catalunya
17/05/2020,85,12,,57564,5956,,Catalunya
16/05/2020,116,29,105,57467,5944,26172,Catalunya
15/05/2020,123,33,163,57328,5915,26067,Catalunya
14/05/2020,151,59,55,57107,5882,25904,Catalunya
13/05/2020,202,131,523,57125,5823,25849,Catalunya
12/05/2020,136,71,360,56923,5692,25326,Catalunya
11/05/2020,184,66,512,56787,5621,24966,Catalunya
10/05/2020,83,23,105,56450,5555,24454,Catalunya
09/05/2020,151,25,286,53729,5532,24349,Catalunya
08/05/2020,369,36,399,53578,5507,24063,Catalunya
07/05/2020,704,77,433,53209,5471,23664,Catalunya
06/05/2020,415,49,350,52505,5394,23231,Catalunya
05/05/2020,292,75,328,52090,5345,22881,Catalunya
04/05/2020,405,50,655,51798,5270,22553,Catalunya
03/05/2020,132,35,1566,51393,5220,21898,Catalunya
02/05/2020,384,48,419,51261,5185,20332,Catalunya
01/05/2020,543,76,273,50877,5137,19913,Catalunya
30/04/2020,391,86,25,50334,5061,19640,Catalunya
29/04/2020,262,70,555,49943,4975,19615,Catalunya
28/04/2020,496,97,741,49681,4905,19060,Catalunya
27/04/2020,403,109,422,49185,4808,18319,Catalunya
26/04/2020,944,133,891,48782,4699,17897,Catalunya
25/04/2020,550,68,253,47838,4566,17006,Catalunya
24/04/2020,717,105,615,47288,4498,16753,Catalunya
23/04/2020,1679,50,661,46571,4393,16138,Catalunya
22/04/2020,1090,96,388,44892,4343,15477,Catalunya
21/04/2020,690,95,643,43802,4247,15089,Catalunya
20/04/2020,1436,143,512,43112,4152,14446,Catalunya
19/04/2020,1076,76,243,41676,4009,13934,Catalunya
18/04/2020,657,54,416,40600,3933,13691,Catalunya
17/04/2020,1627,127,488,39943,3879,13275,Catalunya
16/04/2020,962,134,826,38316,3752,12787,Catalunya
15/04/2020,849,99,646,37354,3855,17297,Catalunya
14/04/2020,1308,90,684,36505,3756,16651,Catalunya
13/04/2020,471,128,365,35197,3666,15967,Catalunya
12/04/2020,699,96,627,34726,3538,15602,Catalunya
11/04/2020,1043,111,677,34027,3442,14975,Catalunya
10/04/2020,1257,100,785,32984,3331,14298,Catalunya
09/04/2020,684,83,450,31727,3231,13513,Catalunya
08/04/2020,1396,107,813,31043,3148,13063,Catalunya
07/04/2020,1324,133,1512,29647,3041,12250,Catalunya
06/04/2020,1499,148,650,28323,2908,10738,Catalunya
05/04/2020,792,123,560,26824,2760,10088,Catalunya
04/04/2020,1298,129,893,26032,2637,9528,Catalunya
03/04/2020,1274,173,786,24734,2508,8635,Catalunya
02/04/2020,1656,242,932,23460,2335,7849,Catalunya
01/04/2020,1813,244,1216,21804,2093,6917,Catalunya
31/03/2020,1218,177,735,19991,1849,5701,Catalunya
30/03/2020,2616,262,841,18773,1672,4966,Catalunya
29/03/2020,1131,184,670,16157,1410,4125,Catalunya
28/03/2020,763,156,349,15026,1226,3455,Catalunya
27/03/2020,1323,190,722,14263,1070,3106,Catalunya
26/03/2020,1348,208,687,12940,880,2384,Catalunya
