94340	120000	29460	56669	29014	329483	0
93726	120559	30674	56858	30223	332040	0
97149	122522	31174	57692	30540	339077	0
78615	106235	25405	51280	24738	286273	0
69603	97117	21171	41568	21057	250516	0
95101	121058	30333	49142	30642	326276	2
99119	122365	30948	49731	30578	332741	2
101105	123833	31665	50703	30910	338216	3
101471	123515	31711	50538	31238	338473	5
100811	122421	32262	49363	32135	336992	5
83661	107332	26821	44537	26946	289297	6
73500	97105	21662	41144	21457	254868	6
98008	120818	30592	49380	30078	328876	11
98716	122806	30390	49669	30359	331940	25
96888	122069	29630	49062	29044	326693	52
94140	117364	28806	48756	28354	317420	116
83102	105391	23102	46935	22683	281213	206
48627	76366	10105	34696	9393	179187	297
32615	57467	5798	28102	5973	129955	405
51840	76102	12527	34504	12177	187150	643
48793	73928	11018	34484	10492	178715	903
47411	73465	10648	34328	10387	176239	1206
47504	75009	10187	35621	10175	178496	1594
50748	81113	10424	37802	10677	190764	2012
32082	64600	5064	32519	5450	139715	2413
26019	56165	3634	28570	4236	118624	2729
46549	77274	9672	37425	10160	181080	3170
45342	77018	9315	36477	9549	177701	3703
44965	76943	9237	35524	9656	176325	4246
41544	71622	8172	33971	8992	164301	4860
40058	69521	7840	32269	8482	158170	5369
27706	60032	4013	28479	4639	124869	5732
23860	52931	3725	25677	3732	109925	6014
34003	65106	6766	29267	6857	141999	6384
33543	65276	6298	29695	6818	141630	6772
32046	69894	6221	31256	6555	145972	7081
33602	71272	5999	31770	6406	149049	7358
34526	72213	6293	31685	6699	151416	7705
26288	64528	3975	29351	3880	128022	7879
46081	120082	6069	56611	6936	235779	8034
33638	71221	6003	31776	6393	149031	8304
32540	70551	5777	30854	6001	145723	8540
33408	72356	5779	31754	6462	149759	8800
34098	74394	6172	33084	6554	154302	9073
49700	125000	7316	58433	7161	247610	9274
55752	136202	7593	62927	8782	271256	9461
46654	122606	6354	57130	7125	239869	9635
21933	56888	3628	25939	3705	112093	9757
39325	75728	8499	32764	8677	164993	10081
39845	75627	8241	32845	8387	164945	10431
39886	78873	8532	32614	8476	168381	10809
40070	77142	8328	32627	8229	166396	11172
25922	64147	4285	28410	4211	126975	11294
19740	53925	3047	23804	3367	103883	11454
39880	74110	8814	31902	9057	163763	11689
38267	72908	8784	31452	8631	160042	11934
41680	78899	9055	33402	8955	171991	12105
42789	78417	9369	33933	9432	173940	12324
42856	78098	9285	33540	9256	173035	12562
28246	65861	4606	28821	4416	131950	12666
24250	59281	3268	27396	3245	117440	12788
42395	77177	9411	32661	9074	170718	12853
42637	76861	9193	32361	9016	170068	12956
42575	75911	9184	32411	9163	169244	13048
43514	78884	9682	33677	9391	175148	13127
26815	61276	3900	27834	3734	123559	13175
39733	74056	4696	34428	4390	157303	13213
35446	67146	3898	31835	3551	141876	13233
54090	85872	10320	37435	9960	197677	13287
52648	85911	10143	37118	10060	195880	13353
55683	87631	10530	38690	10398	202932	13437
52549	90938	10882	39572	10611	204552	13489
47878	89244	11193	38550	10537	197402	13544
31467	75670	5417	33705	5105	151364	13605
20687	62981	3890	28296	3799	119653	13628
55824	102224	11859	43709	10972	224588	13665
60234	109206	12327	45930	11525	239222	13736
59464	108108	12883	44776	12309	237540	13822
55973	101399	12927	42269	12076	224644	13890
60575	108178	13274	45425	12536	239988	13961
37269	89252	5791	37735	5050	175097	13976
33886	82627	4266	36789	4049	161617	13979
64058	109157	13790	45351	13245	245601	14032
63856	110428	13635	45792	12879	246590	14122
65040	110745	14282	45918	13152	249137	14217
64038	110223	13975	45483	13207	246926	14320
65459	112553	14250	46499	13612	252373	14464
44544	97990	6711	41795	6173	197213	14476
37901	86036	4954	38865	4767	172523	14485
71099	116143	16568	48548	15958	268316	14554
71508	116874	16700	48111	15527	268720	14627
70980	117133	17299	47672	15737	268821	14708
70930	118519	16961	48137	15660	270207	14743
68639	114699	17131	45917	15986	262372	14804
55142	106516	11000	44710	9925	227293	14816
46920	94900	9160	40955	8425	200360	14821
