Data,Nous casos diaris confirmats,Defuncions diàries,Altes diàries,Total de casos confirmats,Total de defuncions,Total d'altes
22/09/2020,146,10,,133751,5823,
21/09/2020,125,4,,132700,5808,
20/09/2020,127,2,,132024,5802,
19/09/2020,,,,128901,5797,
18/09/2020,,,,128901,5797,
17/09/2020,183,5,,128901,5797,
16/09/2020,110,7,,127544,5796,
15/09/2020,214,7,,126234,5787,
14/09/2020,0,5,,123393,5780,
13/09/2020,1,5,,123393,5780,
12/09/2020,,,,122320,5780,
11/09/2020,,,,122320,5780,
10/09/2020,198,8,,122320,5780,
09/09/2020,115,3,,121054,5773,
08/09/2020,93,4,,119839,5773,
07/09/2020,147,6,,118974,5770,
06/09/2020,87,8,,118233,5769,
05/09/2020,,,,114987,5761,
04/09/2020,,,,114987,5761,
03/09/2020,160,8,,114987,5761,
02/09/2020,113,9,,113569,5758,
01/09/2020,87,9,,112230,5757,
31/08/2020,142,3,,110667,5749,
30/08/2020,67,3,,110017,5741,
29/08/2020,,,,106811,5741,
28/08/2020,,,,106811,5741,
27/08/2020,141,4,,106811,5741,
26/08/2020,164,7,,105429,5741,
25/08/2020,165,8,,104084,5740,
24/08/2020,153,3,,102817,5727,
23/08/2020,84,6,,102032,5725,
22/08/2020,,,,98462,5724,
21/08/2020,,,,98462,5724,
20/08/2020,172,10,,98462,5724,
19/08/2020,180,10,,97234,5722,
18/08/2020,244,8,,96139,5718,
17/08/2020,69,3,,95123,5712,
16/08/2020,129,1,,94702,5710,
15/08/2020,,,,91982,5709,
14/08/2020,,,,91982,5709,
13/08/2020,169,1,,91982,5709,
12/08/2020,164,3,,90890,5709,
11/08/2020,200,2,,89909,5706,
10/08/2020,100,2,,89015,5706,
09/08/2020,76,2,,88572,5706,
08/08/2020,,,,85970,5704,
07/08/2020,,,,85970,5704,
06/08/2020,113,3,,85970,5704,
05/08/2020,149,5,,84952,5703,
04/08/2020,146,5,,83850,5703,
03/08/2020,109,5,,83079,5703,
02/08/2020,,2,,80568,5687,
01/08/2020,,,,79324,5686,
31/07/2020,,,,79324,5686,
30/07/2020,64,4,,79324,5686,
29/07/2020,121,4,,78257,5686,
28/07/2020,211,4,,77142,5685,
27/07/2020,126,2,,76332,5682,
26/07/2020,71,0,,75613,5680,
25/07/2020,,,,72919,5680,
